Alessi 202                    ;Pup  ;08 05 22   -33 08 28  ;Op    ;OC/**;   96.00;      ;      ;      ;                                                                                                                  ;
   Alessi 203                    ;CMa  ;07 01 13   -13 18 16  ;Op    ;OC/**;   28.00;      ;      ;      ;                                                                                                                  ;
Alessi 204                    ;CMa  ;07 09 25   -12 05 34  ;Op    ;OC/**;   25.00;      ;      ;      ;                                                                                                                  ;
Alessi 205                    ;Mon  ;06 58 18   -10 57 29  ;Op    ;OC/**;   42.00;      ;      ;      ;                                                                                                                  ;
   Alessi 206                    ;Mon  ;07 03 26   -07 47 20  ;Op    ;OC/**;   32.00;      ;      ;      ;                                                                                                                  ;
Alessi 207                    ;Mon  ;06 50 04   -04 57 48  ;Op    ;OC/**;   30.00;      ;      ;      ;                                                                                                                  ;
Alessi 209                    ;Car  ;07 45 06   -55 48 30  ;Op    ;OC/**;  156.00;      ;      ;      ;                                                                                                                  ;
Alessi 210                    ;Pup  ;06 40 55   -38 19 36  ;Op    ;OC/**;  280.00;      ;      ;      ;                                                                                                                  ;
Alessi 211                    ;Pup  ;07 33 51   -36 20 18  ;Op    ;OC/**;  150.00;      ;      ;      ;                                                                                                                  ;
Alessi 28                     ;Vul  ;19 26 58   +21 07 07  ;Op    ;OC/**;   30.00;      ;      ;      ;                                                                                                                  ;
Alessi 39                     ;Gem  ;06 53 44   +22 55 12  ;Op    ;OC/**;   28.00;      ;      ;      ;                                                                                                                  ;
Alessi 45                     ;Cru  ;12 00 48   -61 23 25  ;Op    ;OC/**;   25.00;      ;      ;      ;                                                                                                                  ;
Alessi 72                     ;CMa  ;07 06 02   -16 03 23  ;Op    ;OC/**;   11.00;      ;      ;      ;                                                                                                                  ;
Alessi 76                     ;Aql  ;19 05 47   -00 24 41  ;Op    ;OC/**;   19.00;      ;      ;      ;                                                                                                                  ;
Alessi 77                     ;Sgr  ;18 13 01   -32 19 43  ;Op    ;OC/**;   19.00;      ;      ;      ;Alessi J1813.3-3214                                                                                               ;
Alessi 85                     ;Ori  ;05 38 02   -06 23 38  ;Op    ;OC/**;   60.00;      ;      ;      ;                                                                                                                  ;
Alessi 88                     ;Cyg  ;20 29 02   +55 59 45  ;Op    ;OC/**;   61.00;      ;      ;      ;                                                                                                                  ;
Alessi 89                     ;And  ;23 13 20   +53 09 54  ;Op    ;OC/**;   28.00;      ;      ;      ;                                                                                                                  ;
Alessi 91                     ;Car  ;11 02 36   -60 34 01  ;Op    ;OC/**;   27.00;      ;      ;      ;                                                                                                                  ;
Alessi 92                     ;Car  ;09 49 32   -60 11 02  ;Op    ;OC/**;   24.00;      ;      ;      ;                                                                                                                  ;
Alessi 97                     ;Cen  ;13 24 34   -49 58 36  ;Op    ;OC/**;   34.00;      ;      ;      ;                                                                                                                  ;
Alessi 99                     ;Cam  ;04 18 07   +67 48 20  ;Op    ;OC/**;   16.00;      ;      ;      ;                                                                                                                  ;
Alessi J0709.1-0707           ;Mon  ;07 09 15   -07 04 14  ;Op    ;OC/**;    9.00;      ;      ;      ;Santa 54                                                                                                          ;
Alessi J0734.6+3535           ;Lyn  ;07 34 37   +35 34 36  ;Op    ;OC/**;   54.00;      ;      ;      ;                                                                                                                  ;
Alessi J2108.8+0731           ;Equ  ;21 08 53   +07 31 12  ;Op    ;OC/**;   36.00;      ;      ;      ;                                                                                                                  ;
Alessi-Teutsch 13             ;Mon  ;07 27 48   -08 53 18  ;Op    ;OC/**;   24.00;      ;      ;      ;TC 0727-0853                                                                                                      ;
COCD 182                      ;Vel  ;08 09 32   -47 54 00  ;Op    ;OC?  ;  144.00;      ;      ;      ;                                                                                                                  ;
COCD 339                      ;Cir  ;13 54 41   -64 57 00  ;Op    ;OC?  ;   23.00;      ;      ;      ;                                                                                                                  ;
Kronberger 56                 ;Cyg  ;20 30 24   +34 52 30  ;Op    ;OC?  ;   16.00;      ;      ;      ;                                                                                                                  ;
Levy-W J2108.8+0621           ;Equ  ;21 08 50   +06 21 30  ;Op    ;OC/**;   22.00;      ;      ;      ;Santa 14                                                                                                          ;
Majaess 112                   ;Vel  ;09 18 19   -48 26 44  ;IR    ;OC?  ;   20.00;      ;      ;      ;                                                                                                                  ;
Majaess 117                   ;Car  ;10 05 43   -57 56 15  ;IR    ;OC?  ;   12.00;      ;      ;      ;Camargo 435                                                                                                       ;
Majaess 120                   ;Car  ;10 10 39   -57 45 32  ;IR    ;OC?  ;   13.00;      ;      ;      ;                                                                                                                  ;
Majaess 85                    ;Mon  ;07 03 26   -09 19 56  ;IR    ;OC?  ;   40.00;      ;      ;      ;                                                                                                                  ;
Majaess 124                   ;Vel  ;10 26 36   -56 33 34  ;IR    ;OC?  ;   18.00;      ;      ;      ;                                                                                                                  ;
Majaess 132                   ;Car  ;10 58 05   -58 49 32  ;IR    ;OC?  ;   14.00;      ;      ;      ;                                                                                                                  ;
Majaess 137                   ;Car  ;11 01 05   -60 51 02  ;IR    ;OC?  ;   50.00;      ;      ;      ;                                                                                                                  ;
Majaess 80                    ;Mon  ;06 32 32   +10 19 56  ;IR    ;OC?  ;   15.00;      ;      ;      ;                                                                                                                  ;
Majaess 74                    ;Mon  ;06 02 46   -09 43 17  ;IR    ;OC?  ;   20.00;      ;      ;      ;                                                                                                                  ;
Majaess 144                   ;Cen  ;11 54 47   -63 07 40  ;IR    ;OC?  ;   20.00;      ;      ;      ;                                                                                                                  ;
Majaess 146                   ;Cru  ;11 58 59   -63 37 16  ;IR    ;OC?  ;   20.00;      ;      ;      ;                                                                                                                  ;
Majaess 70                    ;Mon  ;06 00 58   -09 54 12  ;IR    ;OC?  ;   40.00;      ;      ;      ;                                                                                                                  ;
Majaess 59                    ;Aur  ;05 27 14   +38 32 11  ;IR    ;OC?  ;   50.00;      ;      ;      ;                                                                                                                  ;
Majaess 47                    ;Per  ;04 28 28   +45 15 02  ;IR    ;OC?  ;   18.00;      ;      ;      ;                                                                                                                  ;
Majaess 213                   ;Cep  ;22 07 57   +59 46 39  ;IR    ;OC?  ;   25.00;      ;      ;      ;                                                                                                                  ;
Majaess 87                    ;CMa  ;07 19 36   -17 49 10  ;IR    ;OC?  ;   50.00;      ;      ;      ;                                                                                                                  ;
Majaess 206                   ;Cyg  ;20 23 34   +36 39 01  ;IR    ;OC?  ;   25.00;      ;      ;      ;                                                                                                                  ;
Alessi 51                     ;Tau  ;04 43 00   +22 58 00  ;Op    ;OC?  ;   30.00;   107;      ;      ;94 Tau Group                                                                                                      ;Dist is avg of distances of 4 HIP stars

Patchick 11                   ;Cas  ;00 49 03   +51 46 00  ;Op    ;OC/**;   15.00;      ;      ;      ;                                                                                                                  ;
Renou 19                      ;Ori  ;05 29 42   +03 44 18  ;Op    ;OC/**;   27.00;      ;      ;      ;                                                                                                                  ;
Renou 23                      ;Cam  ;05 37 36   +57 10 48  ;Op    ;OC/**;   17.00;      ;      ;      ;                                                                                                                  ;
Renou 60                      ;Vul  ;20 07 20   +26 30 00  ;Op    ;OC/**;   16.00;      ;      ;      ;                                                                                                                  ;
Santa 163                     ;Cep  ;21 55 00   +86 00 00  ;Op    ;OC/**;   25.00;      ;      ;      ;                                                                                                                  ;Elongated: 25 x 15, ** 9-11m
Santa 175                     ;Cep  ;20 52 30   +69 00 00  ;Op    ;OC/**;   25.00;      ;      ;      ;                                                                                                                  ;3 star lines and clusterlike group of 10-13m stars
Schmitz 2                     ;Pyx  ;08 48 18   -32 36 20  ;Op    ;OC/**;   15.00;      ;      ;      ;                                                                                                                  ;
Simons 1                      ;Gem  ;06 27 34   +22 00 00  ;Op    ;OC/**;   22.50;      ;      ;      ;                                                                                                                  ;
Slotegraaf 2                  ;Hor  ;03 04 36   -51 16 00  ;Op    ;OC/**;   24.00;      ;      ;      ;Alessi J0304.6-5116                                                                                               ;
Streicher 93                  ;Pav  ;18 06 42   -58 30 36  ;Op    ;OC/**;   15.00;      ;      ;      ;DSH J1806.7-5830                                                                                                  ;
van der Linde 2               ;Car  ;10 47 04   -64 22 57  ;Op    ;OC/**;   19.00;      ;      ;      ;                                                                                                                  ;
van Wulfen 5                  ;Cam  ;04 05 00   +62 26 30  ;Op    ;OC/**;   13.50;      ;      ;      ;                                                                                                                  ;
Verhaege 2                    ;Tau  ;05 46 01   +21 19 04  ;Op    ;OC/**;   81.00;      ;      ;      ;                                                                                                                  ;
Zannin 4                      ;Lac  ;22 52 00   +41 27 00  ;Op    ;OC/**;   20.00;      ;      ;      ;                                                                                                                  ;
Camargo 1049                  ;Pup  ;07 43 08   -33 19 37  ;IR    ;OC?  ;   13.00;      ;      ;      ;                                                                                                                  ;Impressive
Camargo 414                   ;Car  ;10 00 18   -57 20 34  ;IR    ;OC?  ;   12.00;      ;      ;      ;                                                                                                                  ;
Ferrero 12                    ;Cru  ;11 58 19   -59 36 36  ;Op    ;OC/**;   15.00;      ;      ;      ;                                                                                                                  ;
Ferrero 13                    ;TrA  ;16 14 17   -66 05 06  ;Op    ;OC/**;   10.00;      ;      ;      ;                                                                                                                  ;
Ferrero 18                    ;Gem  ;06 15 25   +25 30 00  ;Op    ;OC/**;   17.00;      ;      ;      ;                                                                                                                  ;
Ferrero 2                     ;Sco  ;16 55 33   -31 19 54  ;Op    ;OC/**;   35.00;      ;      ;      ;Saloranta J1655.8-3124                                                                                            ;
Ferrero 28                    ;Mus  ;13 24 36   -67 17 54  ;Op    ;OC/**;   16.00;      ;      ;      ;                                                                                                                  ;
Hempel 1                      ;Mon  ;06 51 39   +03 02 31  ;Op    ;OC/**;   35.00;      ;      ;      ;                                                                                                                  ;
Kernya 72                     ;Pup  ;08 16 25   –19 38 50  ;Op    ;OC/**;   27.00;      ;      ;      ;                                                                                                                  ;
Klosterman 1                  ;Pup  ;08 17 50   -31 06 00  ;Op    ;OC/**;   15.00;      ;      ;      ;                                                                                                                  ;
Anon 0103+61                  ;Cas  ;01 03 25   +61 50 00  ;Op    ;OC?  ;   23.00;      ;      ;      ;                                                                                                                  ;
Anon 0638+06                  ;Mon  ;06 38 33   +06 36 36  ;Op    ;OC?  ;   35.00;      ;      ;      ;                                                                                                                  ;
Caballero-Solano 1            ;Ori  ;05 32 00   -00 17 57  ;Op    ;OC   ;   90.00;   212;      ; 6.650;Delta Ori Cl, Mintaka Cl                                                                                          ;
Delta Cep Cl                  ;Cep  ;22 22 30   +56 34 00  ;Op    ;OC/OB;  260.00;   272; 0.073; 7.900;Cep OB6                                                                                                           ;




Nonononononononononononononononononononononononononononononononononononon

Ishikawa-Nishida 1            ;Sco  ;16 21 11.3 -25 35 34  ;IR    ;OC?  ;   80.00;   160;      ;      ;[IN89] 1, Sigma Sco cluster                                                                                       ;Dubious. Clusterin of IRAS sources around Sigma Sco
RSG 6                         ;Cyg  ;20 29 57.6 +40 04 48  ;Op    ;OC   ;  300.00;   347; 0.040; 7.800;                                                                                                                  ;Röser et al 2016
RSG 9                         ;Per  ;04 50 57.6 +52 13 48  ;Op    ;OC   ;  307.00;   224; 0.050; 8.250;                                                                                                                  ;Röser et al 2016
Escorial 12                   ;CMa  ;07 03 13.3 -23 51 41  ;Op    ;OC   ;  480.00;   486;      ;      ;24 CMa Cl                                                                                                         ;
Alessi 69                     ;Cep  ;23 43 02   +70 04 12  ;Op    ;OC/**;   60.00;      ;      ;      ;                                                                                                                  ;
Alessi 105                    ;Cnc  ;08 15 35   +07 38 32  ;Op    ;OC/**;  123.00;      ;      ;      ;                                                                                                                  ;
Alessi 189                    ;Hor  ;03 05 26   -60 33 42  ;Op    ;OC/**;  180.00;      ;      ;      ;                                                                                                                  ;
Alessi 116                    ;Vul  ;20 41 11   +20 03 55  ;Op    ;OC?  ;   32.00;      ;      ;      ;                                                                                                                  ;
Alessi 4                      ;Ant  ;10 16 08   -34 15 15  ;Op    ;OCR? ;   60.00;   300;      ;      ;                                                                                                                  ;
Alessi 133                    ;Cep  ;03 54 48   +83 32 48  ;Op    ;OC/**;   72.00;      ;      ;      ;                                                                                                                  ;
Alessi 225                    ;Cen  ;12 08 21.50-50 43 20.7;Op    ;OC   ;   12.00;   127;      ; 7.330;Delta Cen cluster                                                                                                 ;Adopted distance and age of Delta Cen. Includes HD 105382 and HD 105383. Shows nicely in WISE 3.4
Alessi 81                     ;Cap  ;20 21 01   -14 46 53  ;Op    ;OCR? ;  250.00;   100; 0.020; 8.000;Beta-1 Cap grp                                                                                                    ;Age is upper limit
Mamajek 5                     ;Oph  ;16 25 36   -23 26 00  ;Op    ;OC?  ;   45.00;      ;      ;      ;Rho Oph Cl, Mamajek J1625.6-2326                                                                                  ;
Alessi 158                    ;Her  ;18 32 40   +18 50 22  ;Op    ;OC/**;   39.00;      ;      ;      ;                                                                                                                  ;
