NGC 2489                      ;Pup  ;07 56 18.5 -30 03 57.6;Op    ;OC   ;   15.00;  2255; 0.730; 7.320;MWSC 1386                                                                                                         ;
FSR 1084                      ;CMi  ;07 58 36.7 +08 03 21.6;IR    ;OC   ;   23.40;  2362; 0.420; 8.800;MWSC 1397                                                                                                         ;
Ruprecht 44                   ;Pup  ;07 58 53.3 -28 35 06.0;Op    ;OC   ;   19.20;  4666; 0.600; 6.800;MWSC 1398                                                                                                         ;
FSR 1147                      ;CMi  ;08 00 19.7 +01 15 36.0;IR    ;OC   ;   25.20;  1508; 0.650; 8.720;MWSC 1407                                                                                                         ;
FSR 1379                      ;Pup  ;08 00 16.1 -40 53 52.8;IR    ;OC   ;   15.60;  1951; 1.080; 7.450;MWSC 1409                                                                                                         ;
NGC 2509                      ;Pup  ;08 00 46.8 -19 03 00.0;Op    ;OC   ;   22.20;  1711; 0.100; 9.200;MWSC 1410                                                                                                         ;
FSR 1378                      ;Pup  ;08 01 18.7 -40 40 30.0;IR    ;OC   ;   22.80;  1562; 0.870; 8.000;MWSC 1412, SAI 85                                                                                                 ;
Ruprecht 47                   ;Pup  ;08 02 20.4 -31 04 12.0;Op    ;OC   ;   23.40;  2892; 0.290; 8.180;MWSC 1419                                                                                                         ;
Ruprecht 53                   ;Pup  ;08 10 43.2 -26 56 24.0;Op    ;OC   ;   20.40;  1523; 0.270; 8.860;MWSC 1442                                                                                                         ;
Ruprecht 55                   ;Pup  ;08 12 34.1 -32 36 18.0;Op    ;OC   ;   15.60;  3640; 0.600; 6.970;MWSC 1451                                                                                                         ;
Pismis 2                      ;Pup  ;08 17 57.8 -41 40 12.0;Op    ;OC   ;   27.00;  2754; 1.290; 9.060;MWSC 1465                                                                                                         ;
NGC 2567                      ;Pup  ;08 18 34.1 -30 39 00  ;Op    ;OC   ;   20.40;  1678; 0.130; 8.650;MWSC 1467                                                                                                         ;
NGC 2571                      ;Pup  ;08 18 56.4 -29 44 06.0;Op    ;OC   ;   22.80;  1339; 0.140; 7.350;MWSC 1469                                                                                                         ;
Ivanov 8                      ;Pup  ;08 19 09.8 -35 39 00  ;IR    ;OC   ;   12.00;  1194; 0.480; 7.800;MWSC 1470                                                                                                         ;
NGC 2579                      ;Pup  ;08 20 43.7 -36 11 49.2;Op    ;OC   ;   10.80;  1221; 0.210; 8.600;MWSC 1474, [DBSB2003] 17                                                                                          ;
AH03 J0822-36.4               ;Pup  ;08 22 08.4 -36 24 18.0;Op    ;OC   ;   16.80;  1634; 0.420; 8.920;MWSC 1477                                                                                                         ;
NGC 2588                      ;Pup  ;08 23 13.2 -32 58 12.0;Op    ;OC   ;   16.80;  2421; 0.250; 8.900;MWSC 1480                                                                                                         ;
NGC 2587                      ;Pup  ;08 23 25.7 -29 29 34.8;Op    ;OC   ;   20.40;  2701; 0.100; 8.700;MWSC 1482, Collinder 184, BH 30                                                                                   ;
FSR 1387                      ;Pup  ;08 24 31.0 -39 54 18.0;IR    ;OCR  ;   15.60;  1258; 0.630; 9.020;MWSC 1486, SAI 89                                                                                                 ;
Pismis 3                      ;Vel  ;08 31 15.6 -38 39 28.8;Op    ;OC   ;   24.60;  1418; 1.190; 8.930;MWSC 1498                                                                                                         ;
FSR 1401                      ;Vel  ;08 37 02.9 -42 21 54.0;IR    ;OC   ;   13.80;  4178; 1.230; 6.750;MWSC 1512                                                                                                         ;
FSR 1412                      ;Vel  ;08 37 16.6 -44 07 51.6;IR    ;OC   ;   13.80;  2644; 1.210; 7.050;MWSC 1513                                                                                                         ;
NGC 2627                      ;Pyx  ;08 37 19.2 -29 56 42.0;Op    ;OC   ;   19.80;  2712; 0.100; 9.230;MWSC 1514                                                                                                         ;
FSR 1406                      ;Vel  ;08 38 16.8 -42 21 00.0;IR    ;OC   ;   14.00;  3208; 1.460; 6.900;MWSC 1518                                                                                                         ;
