Cluster's Name                ;Const;Coordinates (J2000.0) ;Wavel ;Type ;Dia_arcM;Dst_pc;E(B-V);Log_t ;Aliases/Variants                                                                                                  ;Comments
ASCC 24                       ;Mon  ;06 28 44.4 -06 58 48.0;Op    ;OC   ;   34.80;   381; 0.150; 7.300;MWSC 875, Alessi 47                                                                                               ;
Alessi 53                     ;Mon  ;06 29 19.2 +09 09 54.0;Op    ;OC   ;   13.20;  2394; 0.640; 7.000;MWSC 879, DC 7, FSR 986                                                                                           ;
Alessi 1                      ;Cas  ;00 53 18.5 +49 28 48.0;Op    ;OC   ;   51.00;   750; 0.100; 8.840;MWSC 88, LeDrew 1, COCD 13, Casado 1, Saloranta-Holmstrom 1, TC 0053+4934, Santa 21                               ;
Collinder 96                  ;Mon  ;06 30 30.5 +02 50 42.0;Op    ;OC   ;   13.20;  1056; 0.560; 7.800;MWSC 884                                                                                                          ;
Collinder 95                  ;Mon  ;06 31 04.8 +09 54 36.0;Op    ;OC   ;   20.40;   635; 0.580; 7.300;MWSC 889                                                                                                          ;
Collinder 97                  ;Mon  ;06 31 40.8 +05 58 30.0;Op    ;OC   ;   18.60;  1259; 0.310; 8.400;MWSC 892                                                                                                          ;
NGC 2244                      ;Mon  ;06 31 55.2 +04 56 24.0;Op    ;OC   ;   43.80;  1532; 0.540; 6.700;MWSC 896, Mon OB2 A                                                                                               ;
NGC 2240                      ;Aur  ;06 33 19.7 +35 15 54.0;Op    ;OC   ;   16.80;  1551; 0.150; 9.200;MWSC 900                                                                                                          ;
NGC 2252                      ;Mon  ;06 34 30.0 +05 22 12.0;Op    ;OC   ;   26.40;   900; 0.100; 8.860;MWSC 911                                                                                                          ;
Mon OB1 B                     ;Mon  ;06 37 30   +04 49 00  ;Op    ;OB   ;   54.00;  1480;      ;      ;MWSC 921                                                                                                          ;
Mon OB2                       ;Mon  ;06 36 36   +04 28 00  ;Op    ;OB   ;  360.00;      ;      ;      ;MWSC 923                                                                                                          ;Large multicenter association
ASCC 5                        ;Cas  ;00 57 37.7 +55 51 18.0;Op    ;OC   ;   22.80;   523; 0.020; 7.780;MWSC 93                                                                                                           ;
Collinder 104                 ;Mon  ;06 36 26.9 +04 46 22.8;Op    ;OC   ;   12.00;  2025; 0.830; 8.500;MWSC 930                                                                                                          ;
Trumpler 5                    ;Mon  ;06 36 28.8 +09 28 12.0;Op    ;OC   ;   42.00;  2753; 0.630; 9.500;MWSC 933, Collinder 105                                                                                           ;
Collinder 106                 ;Mon  ;06 37 13.7 +06 04 12.0;Op    ;OC   ;   61.20;  1581; 0.310; 6.420;MWSC 936                                                                                                          ;
Skiff 1                       ;Cas  ;00 58 10.1 +68 27 54.0;Op    ;OC   ;   38.40;  2000; 0.650; 9.010;MWSC 94, Skiff J0058+68.4, FSR 523                                                                                ;
Collinder 110                 ;Mon  ;06 38 42.0 +02 02 06.0;Op    ;OC   ;   42.00;  2362; 0.420; 9.220;MWSC 941                                                                                                          ;
Collinder 107                 ;Mon  ;06 38 30.0 +04 38 06.0;Op    ;OC   ;   21.60;  1447; 0.420; 7.170;MWSC 943                                                                                                          ;
Collinder 111                 ;Mon  ;06 38 49.9 +06 54 54.0;Op    ;OC   ;   13.80;  1191; 0.060; 7.700;MWSC 944                                                                                                          ;
NGC 2264                      ;Mon  ;06 40 58.8 +09 52 48.0;Op    ;OC   ;   46.80;   650; 0.150; 6.750;MWSC 954, Christmas Tree, Escorial 9, Mon I, Mon T1                                                               ;
ASCC 25                       ;Gem  ;06 45 32.4 +24 35 42.0;Op    ;OC   ;   25.20;  1989; 0.330; 9.100;MWSC 977                                                                                                          ;
NGC 2287                      ;CMa  ;06 46 02.9 -20 44 42.0;Op    ;OC   ;   52.80;   769; 0.060; 8.250;MWSC 978, M 41                                                                                                    ;
Collinder 115                 ;Mon  ;06 46 35.3 +01 47 49.2;Op    ;OC   ;   13.80;  2272; 0.520; 7.720;MWSC 981                                                                                                          ;
NGC 2281                      ;Aur  ;06 48 18.0 +41 04 48.0;Op    ;OC   ;   48.60;   500; 0.070; 8.790;MWSC 989                                                                                                          ;
ASCC 26                       ;Mon  ;06 50 25.7 +07 15 00.0;Op    ;OC   ;   19.20;   981; 0.130; 8.150;MWSC 995                                                                                                          ;
MWSC 1786                     ;Ant  ;10 16 13.7 -34 21 36.0;Op    ;OC   ;   17.40;  2340; 0.480; 8.550;                                                                                                                  ;This seems to be not the Original Alessi 4!
MWSC 4114                     ;Men  ;06 07 51.6 -78 13 12  ;Op    ;OC   ;   28.80;   962;      ; 9.400;                                                                                                                  ;
MWSC 4119                     ;Car  ;07 06 03.6 -57 13 48  ;Op    ;OC   ;   24.60;  2347;      ; 8.985;                                                                                                                  ;
MWSC 4176                     ;Oct  ;14 27 18.0 -85 25 12  ;Op    ;OC   ;   33.60;  1093;      ; 9.315;                                                                                                                  ;
MWSC 4194                     ;Lib  ;15 07 53.4 -17 25 30  ;Op    ;OC   ;   38.40;  2089;      ; 9.200;                                                                                                                  ;
MWSC 4218                     ;Lup  ;15 40 26.4 -33 28 30  ;Op    ;OC   ;   30.00;   993;      ; 9.100;                                                                                                                  ;
MWSC 4228                     ;Lup  ;15 54 32.4 -30 39 36  ;Op    ;OC   ;   31.20;  1312;      ; 8.740;                                                                                                                  ;
MWSC 4229                     ;Lup  ;15 56 29.4 -31 43 12  ;Op    ;OC   ;   30.60;  1148;      ; 9.015;                                                                                                                  ;
MWSC 4248                     ;Sco  ;16 12 45.0 -29 54 18  ;Op    ;OC   ;   30.00;  1618;      ; 8.900;                                                                                                                  ;
MWSC 4265                     ;Sco  ;16 29 04.2 -19 09 18  ;Op    ;OC   ;   34.20;  2153;      ; 8.600;                                                                                                                  ;
MWSC 4288                     ;Oph  ;16 44 11.4 -00 08 06  ;Op    ;OC   ;   42.00;  1994;      ; 9.015;                                                                                                                  ;Sparse cluster
MWSC 4301                     ;Her  ;16 59 20.4 +18 21 36  ;Op    ;OC   ;   35.40;  1355;      ; 9.415;                                                                                                                  ;
MWSC 4429                     ;Tel  ;18 35 34.8 -51 44 42  ;Op    ;OC   ;   34.80;  2051;      ; 9.045;                                                                                                                  ;
MWSC 4555                     ;Cap  ;20 17 33.0 -11 21 00  ;Op    ;OC   ;   30.00;  1740;      ; 9.505;                                                                                                                  ;Sparse cluster
MWSC 4606                     ;Aqr  ;21 06 07.2 -11 28 12  ;Op    ;OC   ;   29.40;   956;      ; 9.385;                                                                                                                  ;
MWSC 4622                     ;Cap  ;21 26 02.4 -17 45 00  ;Op    ;OC   ;   28.80;  1075;      ; 9.300;                                                                                                                  ;
MWSC 4668                     ;Oct  ;22 56 56.4 -77 10 12  ;Op    ;OC   ;   21.60;   775;      ; 9.100;                                                                                                                  ;Sparse cluster
MWSC 5154                     ;Vir  ;12 24 57.6 +04 02 42.0;Op    ;OC   ;   31.20;   799; 0.040; 9.500;                                                                                                                  ;
MWSC 5602                     ;Ari  ;03 04 55.4 +23 05 42.0;Op    ;OC   ;   18.60;  1184; 0.100; 9.390;Alessi 142                                                                                                        ;
MWSC 5665                     ;Col  ;06 10 26.4 -42 12 36.0;Op    ;OC   ;   16.80;   934; 0.420; 8.880;                                                                                                                  ;
MWSC 5901                     ;Gem  ;07 30 14.4 +27 01 12.0;Op    ;OC   ;   28.80;   709; 0.050; 9.380;                                                                                                                  ;
MWSC 5963                     ;Ori  ;05 43 56.9 -10 39 18.0;Op    ;OC   ;   30.00;   430; 0.560; 8.820;                                                                                                                  ;
