Cluster's Name                ;Const;Coordinates (J2000.0) ;Wavel ;Type ;Dia_arcM;Dst_pc;E(B-V);Log_t ;Aliases/Variants                                                                                                  ;Comments
ASCC 61                       ;Vel  ;10 46 10.1 -56 50 24.0;Op    ;OC   ;   18.00;  1702; 0.220; 7.670;MWSC 1853                                                                                                         ;
Bochum 11                     ;Car  ;10 47 14.9 -60 04 58.8;Op    ;OC   ;   23.40;  2261; 0.400; 6.000;MWSC 1854                                                                                                         ;
Ruprecht 91                   ;Car  ;10 47 38.4 -57 28 12.0;Op    ;OC   ;   16.20;  1095; 0.010; 8.410;MWSC 1855                                                                                                         ;
Loden 189                     ;Vel  ;10 50 27.6 -56 25 12.0;Op    ;OC   ;   31.80;   819; 0.100; 7.990;MWSC 1858                                                                                                         ;
ASCC 62                       ;Car  ;10 51 03.6 -60 05 06.0;Op    ;OC   ;   19.80;  2322; 0.530; 7.000;MWSC 1859                                                                                                         ;
NGC 886                       ;Cas  ;02 23 26.9 +63 45 18.0;Op    ;OC   ;   20.40;  1000; 0.500; 8.750;MWSC 186, Stock 6                                                                                                 ;
ESO 128-16                    ;Car  ;10 53 40.1 -58 14 42.0;Op    ;OC   ;   19.20;   973; 0.030; 8.840;MWSC 1867                                                                                                         ;
ASCC 63                       ;Car  ;10 55 55.2 -60 24 54.0;Op    ;OC   ;   18.00;  2686; 0.790; 7.250;MWSC 1869                                                                                                         ;
Collinder 236                 ;Car  ;10 57 21.6 -61 07 12.0;Op    ;OC   ;   24.00;   823; 0.070; 8.450;MWSC 1872, Majaess 129                                                                                            ;
Bochum 12                     ;Car  ;10 57 21.6 -61 43 30.0;Op    ;OC   ;   17.40;  2485; 0.230; 8.000;MWSC 1873                                                                                                         ;
NGC 3496                      ;Car  ;10 59 36.5 -60 20 24.0;Op    ;OC   ;   21.60;  1359; 0.420; 8.900;MWSC 1878                                                                                                         ;
NGC 3503                      ;Car  ;11 01 04.8 -59 52 30.0;Op    ;OC   ;   20.40;  2255; 0.730; 7.400;MWSC 1882, Pismis 17                                                                                              ;
ASCC 64                       ;Car  ;11 03 03.6 -60 54 54.0;Op    ;OC   ;   22.80;  1700; 0.150; 8.100;MWSC 1884                                                                                                         ;
NGC 3519                      ;Car  ;11 04 12.0 -61 22 12.0;Op    ;OC   ;   16.20;  1619; 0.170; 8.760;MWSC 1885, Ruprecht 93                                                                                            ;
Loden 306                     ;Car  ;11 05 56.4 -61 07 12.0;Op    ;OC   ;   21.60;  1939; 0.450; 6.760;MWSC 1889                                                                                                         ;
NGC 3532                      ;Car  ;11 05 49.2 -58 43 48.0;Op    ;OC   ;   51.00;   454; 0.040; 8.650;MWSC 1890                                                                                                         ;
Feinstein 1                   ;Car  ;11 06 43.2 -59 49 12.0;Op    ;OC   ;   24.00;  1414; 0.460; 7.200;MWSC 1892                                                                                                         ;
Car OB2                       ;Car  ;11 07 30   -60 11 20  ;Op    ;OB   ;  156.00;  2160;      ;      ;MWSC 1895                                                                                                         ;Multicenter association
Cha I                         ;Cha  ;11 03 36.0 -77 20 24.0;IR    ;YAs  ;   43.20;   380; 0.310; 6.000;MWSC 1897                                                                                                         ;
Cha I South T St Gr           ;Cha  ;11 09 02   -77 29 55  ;IR    ;YAs  ;   40.00;      ;      ;      ;MWSC 1899, Ced 110/111 T St Gr, [BDS2003] 256                                                                     ;
ASCC 1                        ;Cas  ;00 09 39.1 +62 42 14.4;Op    ;OC   ;   12.60;  1600; 0.490; 8.410;MWSC 19                                                                                                           ;
Loden 309                     ;Car  ;11 09 43.2 -60 34 12.0;Op    ;OCR? ;   12.60;   765; 0.250; 8.050;MWSC 1904                                                                                                         ;Sparse, poor RDP
NGC 3572                      ;Car  ;11 10 24.5 -60 15 00.0;Op    ;OC   ;   14.40;  1997; 0.360; 6.930;MWSC 1906, Collinder 239                                                                                          ;
Basel 17                      ;Car  ;11 10 31.7 -59 01 58.8;Op    ;OC   ;   15.00;  1697; 0.160; 7.980;MWSC 1907, Loden 282                                                                                              ;
Hogg 10                       ;Car  ;11 10 44.4 -60 23 06.0;Op    ;OC   ;   13.20;  1920; 0.420; 6.790;MWSC 1908                                                                                                         ;
ASCC 65                       ;Car  ;11 10 58.8 -61 07 30.0;Op    ;OCR? ;   26.40;  1934; 0.520; 6.850;MWSC 1909                                                                                                         ;Sparse, poor RDP
Trumpler 18                   ;Car  ;11 11 34.8 -60 39 54.0;Op    ;OC   ;   19.20;  1422; 0.270; 7.690;MWSC 1911, Collinder 241                                                                                          ;
Hogg 11                       ;Car  ;11 11 36.5 -60 23 24.0;Op    ;OC   ;   10.80;  2554; 0.350; 6.990;MWSC 1913                                                                                                         ;
Collinder 240                 ;Car  ;11 11 40.0 -60 18 34.9;Op    ;OC   ;   32.00;  1577; 0.310; 7.160;MWSC 1914                                                                                                         ;
ESO 570-12                    ;Crt  ;11 12 10.8 -21 20 24.0;Op    ;OCR  ;   30.00;  1268; 0.260; 9.700;MWSC 1915                                                                                                         ;Very sparse
NGC 3576                      ;Car  ;11 18 42   -61 08 00  ;Op    ;OC?  ;   60.00;      ;      ;      ;MWSC 1917                                                                                                         ;
NGC 3590                      ;Car  ;11 13 01.9 -60 46 30.0;Op    ;OC   ;   19.80;  1660; 0.420; 7.400;MWSC 1920, [DBSB2003] 61                                                                                          ;
Stock 13                      ;Car  ;11 12 59.3 -58 52 48.0;Op    ;OC   ;   17.40;  1577; 0.220; 7.370;MWSC 1921                                                                                                         ;
ASCC 66                       ;Cen  ;11 13 33.6 -55 26 24.0;Op    ;OC   ;   24.00;  1032; 0.100; 7.760;MWSC 1922                                                                                                         ;
Trumpler 19                   ;Car  ;11 14 14.9 -57 32 06.0;Op    ;OC   ;   25.80;  1968; 0.090; 9.650;MWSC 1924                                                                                                         ;
IC 2714                       ;Car  ;11 17 27.6 -62 44 24.0;Op    ;OC   ;   23.40;  1224; 0.420; 8.650;MWSC 1930, BH 116, FSR 1582                                                                                       ;
Melotte 105                   ;Car  ;11 19 40.8 -63 28 30.0;Op    ;OC   ;   19.20;  2202; 0.500; 8.380;MWSC 1933                                                                                                         ;
NGC 3680                      ;Cen  ;11 25 37.2 -43 14 06.0;Op    ;OC   ;   22.80;   946; 0.060; 9.200;MWSC 1942                                                                                                         ;
Collinder 249                 ;Cen  ;11 38 06.0 -63 20 16.8;Op    ;OC   ;   19.80;  2937; 0.500; 6.640;MWSC 1960, Lambda Cen Cl, BH 121, Cru OB1 B                                                                       ;This is not IC 2944
Cru OB1 A                     ;Cen  ;11 31 18   -63 28 00  ;Op    ;OB   ;   78.00;  2580;      ;      ;MWSC 1962                                                                                                         ;
Cru OB1 C                     ;Cen  ;11 42 36   -62 30 00  ;Op    ;OB   ;   42.00;  2180;      ;      ;MWSC 1962                                                                                                         ;
Cru OB1 E                     ;Cru  ;12 01 30   -63 00 00  ;Op    ;OB   ;   42.00;  2580;      ;      ;MWSC 1962                                                                                                         ;
ASCC 67                       ;Cen  ;11 41 27.6 -61 00 36.0;Op    ;OC   ;   26.40;  1500; 0.300; 7.670;MWSC 1963                                                                                                         ;
Stock 14                      ;Cen  ;11 43 48.0 -62 31 12.0;Op    ;OC   ;   20.40;  2454; 0.310; 6.800;MWSC 1968, Loden 466                                                                                              ;
Ruprecht 98                   ;Cru  ;11 58 51.6 -64 35 16.8;Op    ;OC   ;   33.60;   610; 0.160; 8.800;MWSC 1988                                                                                                         ;
Feigelson 1                   ;Cha  ;12 01 12.0 -78 20 06.0;Op    ;OC   ;  114.00;   117; 0.000; 6.600;MWSC 1990, Epsilon Cha group                                                                                      ;
ASCC 68                       ;Cru  ;12 02 50.9 -60 55 12.0;Op    ;OC   ;   36.00;   920; 0.090; 8.600;MWSC 1993, Alessi-Teutsch 8                                                                                       ;
Ruprecht 99                   ;Cru  ;12 03 28.8 -63 51 36.0;Op    ;OC   ;   25.20;   719; 0.050; 8.380;MWSC 1994                                                                                                         ;
ASCC 69                       ;Mus  ;12 06 18.0 -69 46 48.0;Op    ;OC   ;   33.00;   774; 0.170; 7.910;MWSC 1996                                                                                                         ;
NGC 7801                      ;Cas  ;00 00 19.7 +50 43 37.2;Op    ;OC   ;   18.70;  1953; 0.150; 9.260;MWSC 2                                                                                                            ;
Loden 565                     ;Cru  ;12 07 56.9 -60 41 24.0;Op    ;OC   ;   22.20;   703; 0.200; 8.380;MWSC 2000                                                                                                         ;
Stock 15                      ;Cru  ;12 10 19.2 -59 31 12.0;Op    ;OC   ;   24.00;   800; 0.000; 9.010;MWSC 2005, ESO 130-8                                                                                              ;
ASCC 70                       ;Cru  ;12 14 49.2 -64 24 00.0;Op    ;OC   ;   33.60;  2652; 0.470; 6.920;MWSC 2010, Alessi 38                                                                                              ;
Loden 615                     ;Mus  ;12 20 40.8 -64 46 30.0;Op    ;OC   ;   29.40;   826; 0.050; 8.630;MWSC 2015                                                                                                         ;
ASCC 71                       ;Mus  ;12 20 45.6 -67 31 48.0;Op    ;OC   ;   28.20;  1209; 0.270; 8.000;MWSC 2016                                                                                                         ;
Markarian 6                   ;Cas  ;02 29 43.7 +60 40 30.0;Op    ;OC   ;   17.40;   850; 0.530; 7.800;MWSC 202, Stock 7, Biurakan 4, Abt 1                                                                              ;
Melotte 111                   ;Com  ;12 23 56.4 +26 18 00.0;Op    ;OC   ;  507.00;    87; 0.000; 8.840;MWSC 2020                                                                                                         ;
Loden 624                     ;Cru  ;12 26 18.5 -61 48 00  ;Op    ;OC   ;   38.40;  1423; 0.420; 7.600;MWSC 2031                                                                                                         ;
ASCC 72                       ;Cru  ;12 33 05.3 -60 55 48.0;Op    ;OC   ;   21.60;  1229; 0.160; 8.210;MWSC 2044                                                                                                         ;
ESO 442-4                     ;Hya  ;12 34 04.8 -29 24 00  ;Op    ;OCR  ;   33.60;  1585; 0.000; 9.600;MWSC 2046                                                                                                         ;
ASCC 73                       ;Mus  ;12 36 21.6 -67 15 00.0;Op    ;OC   ;   29.40;   650; 0.050; 8.190;MWSC 2053                                                                                                         ;
Collinder 261                 ;Mus  ;12 38 06.0 -68 22 01.2;Op    ;OC   ;   28.20;  2683; 0.330; 9.700;MWSC 2055, Harvard 6                                                                                              ;
Trumpler 20                   ;Cru  ;12 39 44.9 -60 38 06.0;Op    ;OC   ;   39.60;  3311; 0.310; 9.330;MWSC 2060, Harvard 7                                                                                              ;
Loden 682                     ;Cru  ;12 47 13.2 -60 41 24.0;Op    ;OC   ;   25.80;   731; 0.250; 8.470;MWSC 2065                                                                                                         ;
Loden 694                     ;Cru  ;12 53 04.1 -60 44 06.0;Op    ;OB?  ;   30.00;  1527; 0.250; 7.380;MWSC 2070                                                                                                         ;B-association
Cen OB1 B                     ;Cen  ;13 00 06   -60 55 00  ;Op    ;OB   ;   36.00;  1760;      ;      ;MWSC 2080                                                                                                         ;
Cen OB1 C                     ;Cen  ;13 05 30   -63 56 00  ;Op    ;OB   ;   42.00;  2080;      ;      ;MWSC 2080                                                                                                         ;
Cen OB1 A                     ;Cru  ;12 53 24   -60 26 00  ;Op    ;OB   ;   84.00;  2200;      ;      ;MWSC 2080                                                                                                         ;
Cen OB1 D                     ;Cen  ;13 13 00   -61 08 00  ;Op    ;OB   ;   60.00;  1870;      ;      ;MWSC 2080                                                                                                         ;
Cen OB1 E                     ;Cen  ;13 18 12   -62 30 00  ;Op    ;OB   ;   32.00;  1820;      ;      ;MWSC 2080, Alessi-Teutsch 15, TC 1315-6206                                                                        ;
Latham 1                      ;Com  ;13 11 14.9 +30 31 30.0;Op    ;OCR? ;   54.60;  1015; 0.210; 9.400;MWSC 2084                                                                                                         ;
IC 1805                       ;Cas  ;02 32 43.7 +61 27 18.0;Op    ;OC   ;   32.40;  1700; 0.800; 7.250;MWSC 209, Melotte 15, Collinder 26                                                                                ;
NGC 5045                      ;Cen  ;13 14 31.2 -63 25 12.0;Op    ;OC   ;   37.80;  1662; 0.460; 7.960;MWSC 2096, Alessi 79                                                                                              ;
NGC 5043                      ;Cen  ;13 16 04.8 -60 03 54.0;Op    ;OC   ;   20.40;   860; 0.080; 8.600;MWSC 2099                                                                                                         ;
Collinder 268                 ;Mus  ;13 18 16.1 -67 04 30.0;Op    ;OC   ;   13.80;  1811; 0.340; 8.790;MWSC 2103, Harvard 8, FSR 1644                                                                                    ;
Stock 16                      ;Cen  ;13 18 46.8 -62 30 36.0;Op    ;OB?  ;   22.20;  1630; 0.520; 6.780;MWSC 2105                                                                                                         ;B-association
NGC 957                       ;Per  ;02 33 30.5 +57 34 22.8;Op    ;OC   ;   34.80;  1900; 0.630; 7.250;MWSC 211                                                                                                          ;
Collinder 269                 ;Mus  ;13 23 50.9 -66 09 36.0;Op    ;OC   ;   25.20;  1870; 0.440; 8.550;MWSC 2113                                                                                                         ;
Loden 807                     ;Cen  ;13 24 37.7 -62 29 42.0;Op    ;OC   ;   21.60;   703; 0.200; 8.300;MWSC 2117                                                                                                         ;
NGC 5139                      ;Cen  ;13 26 47.3 -47 28 48.0;Op    ;GC   ;   99.00;  5199; 0.130;10.100;MWSC 2120, Omega Cen                                                                                              ;
Collinder 271                 ;Cen  ;13 30 07.2 -64 12 00.0;Op    ;OC   ;   13.20;  2588; 1.350; 7.200;MWSC 2126                                                                                                         ;
Collinder 272                 ;Cen  ;13 30 19.7 -61 20 06.0;Op    ;OC   ;   24.60;  2095; 0.600; 7.020;MWSC 2128                                                                                                         ;
Ruprecht 108                  ;Cen  ;13 32 13.2 -58 27 54.0;Op    ;OCR? ;   20.40;   935; 0.140; 8.680;MWSC 2132                                                                                                         ;Sparse, poor RDP
Loden 915                     ;Cen  ;13 34 17.3 -59 17 42.0;Op    ;OC   ;   33.60;   709; 0.150; 8.450;MWSC 2135                                                                                                         ;
Collinder 275                 ;Cen  ;13 34 31.7 -60 12 46.8;Op    ;OC   ;   15.00;  1952; 0.460; 8.600;MWSC 2138                                                                                                         ;
Cas OB6                       ;Cas  ;02 36 28   +61 21 20  ;Op    ;OB   ;  120.00;  2010;      ;      ;MWSC 214                                                                                                          ;Large multicenter association
ASCC 74                       ;Cen  ;13 35 49.2 -58 48 36.0;Op    ;OC   ;   21.60;   550; 0.050; 8.630;MWSC 2140                                                                                                         ;
[PLK98] 15                    ;Cen  ;13 41 09.6 -59 13 30.0;Op    ;OC   ;  120.00;   246; 0.080; 8.340;MWSC 2150, Platais 10                                                                                             ;
Latyshev 2                    ;UMa  ;13 44 24   +53 30 00  ;Op    ;MG   ;  300.00;   110;      ;      ;MWSC 2155                                                                                                         ;Avg dist of its 7 members: 81 UMa, 83 UMa, 84 UMa, 86 UMa, HR 5169, HD 234064 and HD 234073
Loden 1010                    ;Cen  ;13 45 05.3 -60 13 48.0;Op    ;OC   ;   18.60;   949; 0.200; 8.830;MWSC 2157                                                                                                         ;
ASCC 75                       ;Cen  ;13 47 14.9 -62 24 00  ;Op    ;OC   ;   19.20;  2948; 0.420; 6.650;MWSC 2163                                                                                                         ;
[PLK98] 16                    ;Mus  ;13 47 57   -66 01 12  ;Op    ;OC   ;  180.00;   232;      ; 8.300;MWSC 2164, Platais 11                                                                                             ;
Collinder 277                 ;Mus  ;13 48 14.4 -66 04 30.0;Op    ;OCR? ;   15.60;  2204; 0.420; 8.300;MWSC 2166                                                                                                         ;Sparse, poor RDP
ASCC 76                       ;Cir  ;13 52 13.7 -66 24 18.0;Op    ;OC   ;   26.40;  1025; 0.460; 7.750;MWSC 2171                                                                                                         ;
[PLK98] 17                    ;Cen  ;13 52 35.3 -63 24 18.0;Op    ;OC   ;   68.40;   491; 0.140; 8.400;MWSC 2173, Platais 12                                                                                             ;
NGC 5316                      ;Cen  ;13 53 56.4 -61 52 12.0;Op    ;OC   ;   31.20;  1208; 0.310; 8.230;MWSC 2175                                                                                                         ;
Trumpler 2                    ;Per  ;02 37 28.1 +55 57 00.0;Op    ;OC   ;   52.80;   670; 0.320; 7.930;MWSC 219                                                                                                          ;
Loden 1171                    ;Cen  ;13 59 22.1 -58 23 02.4;Op    ;OC   ;   17.40;   789; 0.200; 8.590;MWSC 2191                                                                                                         ;
Loden 1194                    ;Cen  ;14 05 49.2 -59 44 42.0;Op    ;OC   ;   21.60;   673; 0.040; 8.710;MWSC 2200                                                                                                         ;
NGC 5460                      ;Cen  ;14 07 33.6 -48 19 48.0;Op    ;OB?  ;   45.60;   652; 0.090; 8.300;MWSC 2202                                                                                                         ;B-association
ASCC 77                       ;Cen  ;14 10 48.0 -62 19 48.0;Op    ;OB?  ;   31.80;  2041; 0.470; 6.750;MWSC 2205                                                                                                         ;
ESO 175-6                     ;Cen  ;14 18 46.8 -56 53 24.0;Op    ;OC   ;   23.40;   586; 0.190; 8.600;MWSC 2212, Ferrero 40                                                                                             ;
Lynga 2                       ;Cen  ;14 24 26.9 -61 19 48.0;Op    ;OC   ;   24.00;   932; 0.320; 8.430;MWSC 2215, BH 157                                                                                                 ;
NGC 5593                      ;Lup  ;14 25 37.2 -54 48 00  ;Op    ;OC   ;   16.20;   808; 0.040; 8.770;MWSC 2217                                                                                                         ;
Chereul 1                     ;Dra  ;14 29 04.0 +55 23 30.1;Op    ;MG   ;  760.00;   105;      ;      ;MWSC 2221, [CCB98] 14, Bootes                                                                                     ;
NGC 1039                      ;Per  ;02 42 11.8 +42 47 24.0;Op    ;OC   ;   87.60;   510; 0.080; 8.380;MWSC 223, M 34                                                                                                    ;
NGC 5662                      ;Cen  ;14 35 34.8 -56 36 54.0;Op    ;OB?  ;   29.40;   625; 0.380; 8.280;MWSC 2234                                                                                                         ;B-association
Alessi 6                      ;Cir  ;14 40 31.7 -66 07 12.0;Op    ;OC   ;   46.80;   613; 0.190; 8.320;MWSC 2240, COCD 356                                                                                               ;
Ursa Major Cl                 ;UMa  ;12 01 40   +56 42 00  ;Op    ;OC   ; 1425.00;    25;      ; 8.480;MWSC 2242, Collinder 285                                                                                          ;
Loden 1409                    ;Cir  ;14 44 40.1 -61 42 54.0;Op    ;OC   ;   31.20;  2088; 0.940; 8.000;MWSC 2249                                                                                                         ;
NGC 1027                      ;Cas  ;02 42 39.6 +61 37 12.0;Op    ;OC   ;   28.20;   950; 0.250; 8.550;MWSC 225                                                                                                          ;
Cir OB1                       ;Cir  ;14 45 00.0 -62 55 30.0;Op    ;OB   ;   42.00;  1783; 2.310; 6.800;MWSC 2251                                                                                                         ;Sparse, strong and variable reddening, poor RDP
BH 164                        ;Cir  ;14 47 38.4 -66 23 24.0;Op    ;OC   ;   44.40;   501; 0.310; 7.100;MWSC 2255, Alessi 7                                                                                               ;
NGC 5822                      ;Lup  ;15 04 28.1 -54 23 24.0;Op    ;OC   ;   66.00;   794; 0.310; 8.840;MWSC 2269                                                                                                         ;
ASCC 78                       ;TrA  ;15 05 36.5 -68 24 18.0;Op    ;OCR? ;   18.60;  3241; 0.150; 9.380;MWSC 2270                                                                                                         ;
FSR 1697                      ;Cir  ;15 06 42.0 -56 31 01.2;IR    ;OC   ;   12.60;   912; 0.630; 8.060;MWSC 2274                                                                                                         ;
ASCC 9                        ;Cas  ;02 46 58.8 +57 44 42.0;Op    ;OC   ;   25.20;  2901; 0.900; 7.000;MWSC 228                                                                                                          ;
ASCC 79                       ;Cir  ;15 18 39.6 -60 37 48.0;Op    ;OC   ;   61.20;   871; 0.310; 6.950;MWSC 2288, Alessi 25                                                                                              ;
ASCC 80                       ;Cir  ;15 24 44.9 -60 07 40.8;Op    ;OC   ;   37.80;  1281; 0.400; 8.380;MWSC 2290                                                                                                         ;
Alessi 8                      ;Nor  ;15 29 27.6 -51 15 18.0;Op    ;OB?  ;   31.20;   715; 0.090; 8.110;MWSC 2298, COCD 362                                                                                               ;B-association
Alessi 20                     ;Cas  ;00 10 40.1 +58 44 52.8;Op    ;OC   ;   36.60;   470; 0.380; 7.580;MWSC 23, COCD 4, Cas R2                                                                                           ;
Dol-Dzim 1                    ;Ari  ;02 47 30.0 +17 16 00.1;Op    ;OCR? ;   14.00;   960; 0.100; 9.700;MWSC 231                                                                                                          ;
Johansson 1                   ;Nor  ;15 46 14.9 -52 22 40.8;Op    ;OC   ;   36.00;   869; 0.170; 8.730;MWSC 2318                                                                                                         ;
ASCC 81                       ;Nor  ;15 46 46.1 -50 59 42.0;Op    ;OC   ;   19.20;   850; 0.170; 8.750;MWSC 2319                                                                                                         ;
ASCC 82                       ;TrA  ;15 47 02.4 -64 24 43.2;Op    ;OC   ;   25.20;   800; 0.000; 8.600;MWSC 2320                                                                                                         ;
Collinder 292                 ;Nor  ;15 50 02.4 -57 38 16.8;Op    ;OC   ;   20.40;  1106; 0.250; 8.700;MWSC 2324                                                                                                         ;
ASCC 83                       ;Nor  ;15 50 04.1 -52 47 24.0;Op    ;OC   ;   20.40;   619; 0.130; 8.100;MWSC 2325                                                                                                         ;
ASCC 84                       ;TrA  ;15 54 55.7 -60 44 42.0;Op    ;OC   ;   24.00;   884; 0.270; 7.850;MWSC 2333                                                                                                         ;
Ruprecht 113                  ;Nor  ;15 57 32.4 -59 29 42.0;Op    ;OC   ;   54.00;   810; 0.150; 8.350;MWSC 2337                                                                                                         ;
Nor OB1                       ;Nor  ;15 57 08   -54 33 00  ;Op    ;OB   ;   72.00;  1100;      ;      ;MWSC 2340                                                                                                         ;
NGC 6025                      ;TrA  ;16 03 16.1 -60 24 00  ;Op    ;OB?  ;   41.40;   763; 0.210; 8.180;MWSC 2347                                                                                                         ;B-association
IC 1848                       ;Cas  ;02 51 06.5 +60 24 36.0;Op    ;OC   ;   32.40;  1500; 0.670; 6.850;MWSC 236, Collinder 32, Collinder 33                                                                              ;
Nor OB5                       ;Nor  ;16 10 34   -49 02 24  ;Op    ;OB   ;  120.00;      ;      ;      ;MWSC 2360, COCD 367                                                                                               ;Sparse, central cluster is DBSB 101
Sco OB2 B                     ;Cen  ;14 04 36   -44 13 00  ;Op    ;OB   ;  498.00;   180;      ;      ;MWSC 2372                                                                                                         ;
Sco OB2 C                     ;Lup  ;15 15 42   -42 24 00  ;Op    ;OB   ;  430.00;   140;      ; 7.110;MWSC 2372, Upper Centaurus-Lupus (UCL)                                                                            ;
Sco OB2 A                     ;Cru  ;12 32 48   -61 45 00  ;Op    ;OB   ;  634.00;   118;      ; 7.000;MWSC 2372, Lower Centaurus-Crux (LCC)                                                                             ;
Collinder 302                 ;Sco  ;16 14 12   -23 55 00  ;Op    ;OB   ;  774.00;   145;      ; 6.700;MWSC 2372, 2405, Sco OB2 D, Upper Scorpius (US), Antares Cl                                                       ;
Latyshev 1                    ;Ari  ;02 52 00   +27 30 00  ;Op    ;MG   ;  330.00;    25;      ;      ;MWSC 238                                                                                                          ;Avg distance of it's 5 memb: 51 Ari, VY Ari, HD 17190, HD 17382 and HD 18143
Harvard 10                    ;Nor  ;16 18 55.7 -54 55 12.0;Op    ;OB?  ;   45.60;  1441; 0.330; 7.970;MWSC 2381, Collinder 299                                                                                          ;B-association
NGC 6087                      ;Nor  ;16 18 50.4 -57 56 24.0;Op    ;OB?  ;   38.40;   889; 0.270; 7.950;MWSC 2382                                                                                                         ;B-association
Ruprecht 116                  ;Nor  ;16 23 24.0 -52 00 00.0;Op    ;OC   ;   15.60;   895; 0.140; 8.950;MWSC 2393                                                                                                         ;
Ruprecht 117                  ;Nor  ;16 23 25.7 -51 52 48.0;Op    ;OC   ;    9.60;   937; 0.130; 8.950;MWSC 2395                                                                                                         ;
NGC 6121                      ;Sco  ;16 23 35.0 -26 31 33.6;Op    ;GC   ;  106.20;  2199; 0.350;10.100;MWSC 2396, M 4                                                                                                    ;
[BDS2003] 118                 ;Cas  ;02 54 30.5 +62 31 30.0;IR    ;OC   ;   25.80;  2056; 1.040; 6.800;MWSC 240, IRAS 02497+6217 St Gr                                                                                   ;
NGC 6115                      ;Nor  ;16 24 43.2 -51 56 24.0;Op    ;OC   ;   16.80;   974; 0.150; 8.940;MWSC 2402, Ruprecht 118                                                                                           ;
NGC 6124                      ;Sco  ;16 25 15.6 -40 39 00  ;Op    ;OC   ;   54.60;   559; 0.660; 8.290;MWSC 2403                                                                                                         ;
Dol-Dzim 5                    ;Her  ;16 27 24.0 +38 04 00.1;Op    ;OC?  ;   15.00;   900; 0.020; 9.300;MWSC 2410                                                                                                         ;
NGC 6134                      ;Nor  ;16 27 48.5 -49 09 18.0;Op    ;OC   ;   26.40;   892; 0.460; 9.020;MWSC 2412                                                                                                         ;
Hogg 19                       ;Nor  ;16 29 02.4 -49 05 49.2;Op    ;OC   ;   14.40;   898; 0.420; 9.020;MWSC 2415                                                                                                         ;
FSR 1772                      ;Oph  ;16 31 02.9 -24 16 30.0;IR    ;OCR  ;   48.00;  4350; 0.650; 9.400;MWSC 2421                                                                                                         ;Sparse, looks like as hole in clouds
NGC 6167                      ;Ara  ;16 34 40.8 -49 47 06.0;Op    ;OC   ;   25.20;  1216; 0.850; 8.190;MWSC 2425, Harvard 11                                                                                             ;
Collinder 307                 ;Ara  ;16 35 19.9 -50 59 24.0;Op    ;OC   ;   13.80;  2065; 1.170; 7.250;MWSC 2427                                                                                                         ;
FSR 581                       ;Cas  ;02 56 06.2 +68 49 30.0;IR    ;OC   ;   16.80;   930; 0.800; 8.400;MWSC 243                                                                                                          ;
NGC 6193                      ;Ara  ;16 41 22.1 -48 45 18.0;Op    ;OC   ;   27.60;  1158; 0.560; 6.700;MWSC 2444                                                                                                         ;
Ruprecht 121                  ;Ara  ;16 41 47.3 -46 09 00  ;Op    ;OC   ;   28.80;  1239; 1.040; 8.430;MWSC 2446                                                                                                         ;
Ara OB1 A                     ;Ara  ;16 39 06   -48 57 00  ;Op    ;OB   ;  102.00;  1590;      ;      ;MWSC 2447                                                                                                         ;Large multicenter association
Ara OB1 B                     ;Ara  ;16 59 00   -46 07 00  ;Op    ;OB   ;   42.00;  1350;      ;      ;MWSC 2449                                                                                                         ;
NGC 6200                      ;Ara  ;16 44 09.6 -47 27 54.0;Op    ;OC   ;   28.80;  2214; 0.540; 7.000;MWSC 2450                                                                                                         ;
Dol-Dzim 6                    ;Her  ;16 45 30.5 +38 21 36.0;Op    ;OCR  ;   33.60;   946; 0.060; 9.450;MWSC 2454                                                                                                         ;
NGC 6204                      ;Ara  ;16 46 08.4 -47 01 12.0;Op    ;OC   ;   17.40;  1085; 0.430; 8.000;MWSC 2457                                                                                                         ;
Hogg 22                       ;Ara  ;16 46 37.2 -47 05 24.0;Op    ;OC   ;    9.00;  2799; 0.820; 6.800;MWSC 2459                                                                                                         ;
[BDS2003] 122                 ;Cas  ;02 59 16.8 +62 18 00  ;IR    ;OC   ;   38.40;  2273; 2.230; 6.650;MWSC 246, IRAS 02541+6208 St Gr                                                                                   ;
ASCC 85                       ;Sco  ;16 47 49.2 -45 29 24.0;Op    ;OC   ;   28.20;   806; 0.520; 7.500;MWSC 2465                                                                                                         ;
NGC 6208                      ;Ara  ;16 49 22.8 -53 42 54.0;Op    ;OC   ;   25.20;   926; 0.210; 9.280;MWSC 2470                                                                                                         ;
Collinder 33                  ;Cas  ;02 59 15.6 +60 18 00  ;Op    ;OC   ;   28.80;  1100; 0.350; 8.350;MWSC 248                                                                                                          ;
Sco OB1                       ;Sco  ;16 53 58   -41 39 00  ;Op    ;OB   ;  120.00;  1920;      ;      ;MWSC 2480, Ass-67                                                                                                 ;Multicenter association
NGC 6231                      ;Sco  ;16 54 14.4 -41 49 48.0;Op    ;OB?  ;   48.00;  1393; 0.560; 7.050;MWSC 2481                                                                                                         ;Central part of association Sco OB1
ESO 332-8                     ;Sco  ;16 54 46.8 -40 42 54.0;Op    ;OB?  ;   21.60;   965; 0.240; 8.170;MWSC 2483                                                                                                         ;
Collinder 316                 ;Sco  ;16 55 30.0 -40 49 59.9;Op    ;OC   ;  100.00;  1000; 0.200;      ;MWSC 2487                                                                                                         ;
