      ;55-1049-1   ;046.0593214245;+02.0918132476;  1.80; 0.25;   -4.574; 1.424;    0.625; 0.746;11.678
      ;55-117-1    ;046.4666350464;+02.1843399181;  1.94; 0.79;  -22.400; 1.424;  -20.758; 0.664;11.889
      ;55-362-1    ;046.3850577454;+02.2221668665;  1.77; 0.69;   -2.579; 0.756;  -31.828; 1.793; 8.992
      ;55-1024-1   ;047.2220843297;+01.9282042935;  1.37; 0.26;   -1.723; 1.232;   -4.412; 0.674; 9.887
      ;55-214-1    ;047.3525022992;+02.0452335605;  1.34; 0.26;   -7.096; 1.386;   -5.213; 0.798;10.174
      ;55-1032-1   ;047.2420874264;+02.1577641946;  1.55; 0.32;   -7.862; 1.641;   -8.472; 0.917;11.617
      ;55-29-1     ;047.0641285492;+02.1204987964;  0.39; 0.36;    5.161; 1.709;    2.030; 0.889;11.952
      ;55-1281-1   ;047.4217227493;+02.1538131256;  5.98; 0.28;  -14.547; 0.991;    0.248; 0.748;10.606
      ;55-112-1    ;047.4961911141;+02.3923256730;  2.59; 0.27;   -4.241; 1.987;    2.703; 0.947;11.266
      ;56-157-1    ;047.6270249544;+02.4636667619;  7.92; 0.64;   83.073; 0.831;  -92.596; 1.536; 9.900
      ;55-738-1    ;047.3964962388;+02.4125400655;  1.98; 0.35;   14.784; 1.620;    2.874; 0.836;11.912
      ;55-695-1    ;047.4337983925;+02.4655609643;  2.19; 0.40;    3.796; 1.912;  -21.247; 0.985;12.328
      ;59-53-1     ;047.5185979760;+02.5430467806;  2.77; 0.25;  -15.809; 1.593;  -12.218; 0.845;12.262
      ;59-1525-1   ;047.5140292788;+02.6121966752;  2.44; 0.29;   -7.503; 1.371;    1.412; 0.720;11.994
      ;55-1202-1   ;046.7556048906;+02.1344799412; 12.13; 0.95;   17.861; 0.906;   42.017; 0.569; 9.671
      ;55-246-1    ;046.8018103999;+02.1599432952;  1.38; 0.69;   -5.428; 1.193;   -2.566; 0.683;10.285
      ;55-357-1    ;046.8768370430;+02.2175863504;  0.41; 0.82;   11.885; 1.035;  -39.204; 0.621;10.639
      ;55-945-1    ;046.9321911766;+02.3752568468;  1.20; 0.77;   20.754; 1.355;    7.628; 0.714;12.590
 14416;            ;046.5315731046;+02.3557484194;  2.51; 0.58;   16.295; 0.067;   -8.367; 0.046; 7.807
      ;55-178-1    ;046.7969960820;+02.4849579008;  4.79; 0.88;    6.104; 1.666;   -4.551; 0.981;11.504
      ;55-746-1    ;046.6769365987;+02.4753864880;  7.00; 0.61;  -19.311; 0.519;   -7.548; 0.368; 9.053
      ;58-1235-1   ;047.3292976757;+02.7459413075;  5.03; 0.25;  -10.320; 1.309; -124.256; 0.677;10.358
      ;58-1173-1   ;047.2308240592;+02.7395597509;  9.80; 0.32;   70.598; 1.022;   14.882; 0.596; 9.602
      ;58-1074-1   ;047.0563559328;+02.8372345955;  2.63; 0.51;  -20.935; 0.836;  -21.297; 0.434;10.961
      ;55-318-1    ;045.8336120236;+02.1232448118;  3.08; 0.38;   -4.014; 2.660;   -3.666; 1.374;10.974
      ;55-304-1    ;045.9043616076;+02.2096377892;  1.45; 0.37;    5.183; 2.844;  -10.194; 1.404;11.805
      ;55-757-1    ;045.7326236136;+02.1551794843;  3.49; 0.27;  -12.703; 2.118;  -14.298; 1.018;11.420
 14144;            ;045.5984380980;+02.2041895409;  5.16; 0.25;   60.754; 0.123;  -11.282; 0.128; 9.379
      ;55-181-1    ;046.0283149218;+02.1326200652;  7.24; 0.25;   49.956; 1.756;   -9.536; 0.914; 9.630
      ;55-741-1    ;045.3630607730;+02.1333570940;  6.91; 0.34;   25.934; 1.324;    0.222; 0.779; 9.628
 14087;            ;045.4081723240;+02.1682724676;  2.94; 0.52;   -4.258; 0.063;   -2.832; 0.058; 9.077
      ;55-479-1    ;045.5964603973;+02.3521665680;  1.38; 0.30;    4.483; 2.599;    6.925; 1.174;11.760
      ;55-94-1     ;045.2385596252;+02.4941634881;  1.76; 0.31;    5.366; 1.714;   -3.619; 0.831; 9.572
      ;58-987-1    ;045.7134886674;+02.6692657774;  1.95; 0.23;    5.613; 1.569;    0.750; 0.810;10.453
      ;58-1091-1   ;046.0210147870;+02.7029628512;  1.95; 0.37;   22.071; 2.273;    3.914; 1.234;11.291
      ;58-970-1    ;045.6083952637;+02.6281043059;  4.77; 0.28;   -1.740; 1.632;    3.576; 0.846;10.348
      ;58-1002-1   ;046.2913364237;+02.5042394228;  1.42; 0.42;    6.141; 1.188;    0.773; 0.656;10.904
      ;58-1067-1   ;046.5528583250;+02.7753759975;  2.15; 0.96;   -1.223; 1.339;  -18.377; 0.690;11.790
      ;58-1024-1   ;046.2231035221;+02.5597363122;  3.48; 0.25;   -2.791; 1.651;  -23.916; 0.805;11.362
      ;58-1158-1   ;046.2843784694;+02.8504096849;  1.94; 0.56;   14.041; 2.870;   -9.965; 1.493;12.287
      ;58-873-1    ;046.9732052321;+03.0798200584;  5.94; 0.95;  -24.959; 1.786;  -52.515; 0.955;11.564
      ;58-1054-1   ;046.5390619068;+03.0605936451;  1.19; 0.39;   21.390; 2.713;    4.115; 1.392;12.092
